tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
100,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1000000,0,0,140000
102,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1007000,0,0,140000
104,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1014000,0,0,140000
106,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1021000,0,0,140000
108,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1028000,0,0,140000
110,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1035000,0,0,140000
112,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1042000,0,0,140000
114,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1049000,0,0,140000
116,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1056000,0,0,140000
118,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1063000,0,0,140000
120,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1070000,0,0,140000
122,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1077000,0,0,140000
124,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1084000,0,0,140000
126,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1091000,0,0,140000
128,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1098000,0,0,140000
130,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1105000,0,0,140000
132,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1112000,0,0,140000
134,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1119000,0,0,140000
136,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1126000,0,0,140000
138,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1133000,0,0,140000
